ENTITY	CUI
Paroxetine, cis-(+)-Isomer	C0886641
Paroxetine, trans-(+)-Isomer	C0886643
Paroxetine Maleate	C0886644
RJR 2403	C0525189
WIN 51708	C0252395
17-hydroxy-17-ethynyl-delta(4)-androstano(3,2-b)pyrimido(1,2-a)benzimidazole	C0252392
WIN 62577	C0252393
Raplon	C0876147
rapacuronium bromide	C0753790
Org 9487	C0219598
PAMP(1-20)NH2	C0257633
LY 253352	C0636157
Flomax	C0662903
YM 617	C0149192
TC 1734	C1508755
N-methyl-5-(3-(5-isopropoxypyridinyl))-4-penten-2-amine	C3501738
Leucoanthocyanidins	C1137130
Eserine	C1314787
delphinidin	C0057304
delphinidin chloride	C0112809
alpha-Glucosidase Inhibitors	C1299007
Pancreatic alpha-Amylase Inhibitors	C3850107
Glycoside Hydrolase Inhibitors	C3850174
Intestinal alpha-Amylase Inhibitors	C3853000
metanicotine, (Z)-isomer	C0952509
metanicotine, (E)-isomer	C0952510
metanicotine, (R-(R*,R*))-2,3-dihydroxybutanedioate salt	C0952511
trans-metanicotine	C0146421
TC 2403-12	C2000365
metanicotine hemigalactarate	C2000366
NAB-365	C0795755
Planipart	C0032070
Tetrahydronaphthalenes	C0039673
Thiophenes	C0039931
Requip	C0593342
SK&F 101468	C0142469
ropinirole hydrochloride	C0771840
2-(N-n-propyl-N-2-thienylethylamino)-5-hydroxytetralin	C0092275
N 0437, (R)-isomer	C0956956
N 0437, (+-)-isomer	C0956957
N 0437	C0067092
N 0923	C0129569
N 0924	C0129570
Rotigotine CDS	C1101411
rotigotine, (+)-	C4318637
N 0437, hydrochloride, (R)-isomer	C0956958
N 0437, hydrochloride, (S)-isomer	C0956959
N 0437, (-)-isomer	C0956960
Neupro	C1949346
Suramin, Monosodium Salt	C0886904
Moranil	C0878167
Germanin	C0878168
Naganol	C0878165
Naganin	C0878166
Naphuride	C0242512
Acetanilides	C0000974
Betanis	C3489691
YM 178	C1957299
Quinpirole Hydrochloride	C0376516
Xeloda	C0724419
Fluorouracil Potassium Salt	C0887255
Fluorouracil Monopotassium Salt	C0887257
Fluorouracil Monosodium Salt	C0887254
Efudex	C0699372
Fluoroplex	C0699375
Adrucil	C0699374
5-Fluorouracil-Biosyn	C1564842
Fluorouracilo Ferrer Far	C1564847
Fluorouracile Dakota	C1564848
Haemato-FU	C1564849
5-HU Hexal	C1564843
5-FU Lederle	C1564844
Fluorouracil-GRY	C1564846
5-FU Medac	C1564845
Onkofluor	C1564851
Fluracedyl	C1517230
Ribofluor	C1517232
Carac	C0939777
Fluorouracil Mononitrate	C0887256
Fluoro-Uracile ICN	C5441799
Organoplatinum Compounds	C0029255
Oxaloacetic Acids	C0600557
Lorsban	C0701976
Ambroten	C1449508
stas-Hustenlser	C1449521
Mucotablin	C1449522
AMBROPP	C1449529
Ambroxin	C1449530
Ebromin	C1449537
Abrohexal	C1449509
Ambril	C1449510
Pect Hustenlser	C1449519
Ambro-Puren	C1449525
Ambrobeta	C1449526
Bisolvon AM	C1449531
Bronchowern	C1449533
Dinobroxol	C1449536
Larylin Husten-Loser	C1449538
Therapin Hustenlser	C1449539
Flavamed	C1449544
Motosol	C1449553
Broxol	C1449534
Contac Husten-Trunk	C1449535
Gelopol	C1449546
Mibrox	C1449552
Padiamuc	C1449523
Ambrofur	C1449527
Ambrolitic	C1449528
Organophosphonates	C2599894
2,2'-azino-di-(3-ethylbenzothiazoline)-(6)-sulfonic acid, ammonium salt	C0091185
2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid, diammonium salt	C0969866
diammonium-2,2'-azinobis(3-ethylbenzothiazoline-6-sulfonate)	C2744669
GAT228	C4705478
GAT211	C4705477
3-(2-nitro-1-phenylethyl)-2-phenyl-1H-indole	C4705475
GAT229	C4705476
Pentenes	C0524484
Neonicotinoids	C4505166
desnitroimidacloprid	C2354442
Premise 75	C0971619
2,2'-dipicolylamine	C1570715
Phosphonic Acid Esters	C1449864
(18F)-ethoxybenzovesamicol	C0665349
Agrastat	C4547876
Tirofiban Hydrochloride Monohydrate	C1172567
tirofiban hydrochloride	C0795668
Aggrastat	C0656369
L 700462	C0211746
MK 383	C0740031
CYC 202	C1436187
Seliciclib	C1609861
R-roscovitine	C1610414
2-(1-Ethyl-2-hydroxyethylamino)-6-benzylamino-9-isopropylpurine	C4759697
2-amino-2-(2-carboxycycloprop-1-yl)-3-(xanth-9-yl)propanoic acid	C0757823
LY 341495	C0757826
budesonide-glycopyrrolate-formoterol fumarate drug combination	C5540930
Metasympatol	C0699106
Metaoxedrin	C0699105
Neo-Synephrine	C0702190
Mezaton	C0699107
phenylephrine tannate	C0724660
Sodium-Glucose Transporter 2 Inhibitors	C3273807
N-arachidonoylethanolamine	C5435245
Anthracenes	C0003163
9-anthroic acid, sodium salt	C0889014
9-anthroic acid, sodium salt, 11C-labeled	C0889015
Ergotaminine	C0014712
Ergo-Kranit	C1569515
Ergomar	C0700758
Ergo Sanol	C1569516
MRS 1220	C0670051
9-chloro-2-(2-furyl)-5-phenylacetylamino(1,2,4)triazolo(1,5-c)quinazoline	C0670049
Aniline Compounds	C0003038
(2S)-3-(3-((4-chlorophenyl)methyl)-2,6-dioxo-4-(4-pyridin-2-yloxyanilino)-1,3,5-triazin-1-yl)-2-methylpropanoic acid	C5565903
sivopixant	C5446795
Scopolan	C0701020
Buscapine	C0701022
Buscopan	C0701019
Buscolysin	C0701021
Neolignans	C0132132
n-Butyrate	C0130942
butyrate	C0220802
MK 869	C0757679
(1-(3,5-bis(Trifluoromethyl)phenyl)ethoxy)-3-(fluoro)phenyl-4-(3-oxo-1,2,4-triazol-5-yl)methylmorpholine	C0759816
L 754030	C0759820
MK 0517	C2607623
SR 140603	C0250622
SR 140333	C0250624
1-(2-(3-(3,4-dichlorophenyl)-1-(3-isopropoxyphenylacetyl)piperidin-3-yl)ethyl)-4-phenyl-1-azabicyclo(2.2.2)octane chloride	C0250621
R 093877	C1314874
Resolor	C1174782
Motegrity	C4745447
resotran	C4508855
calcium alginate	C0108092
Barium Alginate	C1173451
Alloid G	C0102235
Kalrostat	C0124443
Kalrostat 2	C0124444
Sodium Calcium Alginate	C0142813
Vocoloid	C0148575
Copper Alginate	C0243317
Xantalgin	C0206891
Kaltostat	C0936056
Calginat	C4704856
Betoptic	C0699055
Kerlone	C0678122
ALO-1401-02	C0728969
SL-75212	C0242564
Iridoid Aglycones	C2930588
Secoiridoids	C1136329
(1RS,1'S)-PEAQX	C1567295
5-(alpha-methyl-4-bromobenzylamino)phosphonomethyl-1,4-dihydroquinoxaline-2,3-dione	C1567294
Pepcid	C0678119
Famotidine Hydrochloride	C0949471
YM-11170	C0733580
MK-208	C0733581
Xyzal	C1311681
levocetirizine dihydrochloride	C1321643
levocetirizine hydrochloride	C4743248
UCB-28556	C4310360
AC-5216	C1611320
CCD 1042	C0537149
Ztalmy	C5679377
Indocid	C0591640
Indomethacin Hydrochloride	C0887199
Indomet 140	C0700796
Amuno	C0700799
Metindol	C0700797
Indocin	C0700798
Osmosin	C0029390
Platino	C0699665
Platidiam	C0699664
Platinol	C0699666
Biocisplatinum	C0699663
NSC-119875	C0936226
Xolair	C1174773
Lingraine	C0591727
Ergodryl Mono	C4048175
Ergostat	C2936189
Gynergen	C0700756
Cornutamine	C0700757
disodium (R,R)-5-(2-((2-(3-chlorophenyl)-2-hydroxyethyl)-amino)propyl)-1,3-benzodioxole-2,3-dicarboxylate	C0171207
Fortral	C0591534
pentazocine lactate	C0700554
Lexir	C0729135
pentazocine hydrochloride	C0355587
Talwin	C0030875
tapentadol hydrochloride	C2710874
Nucynta	C2718761
dezocine, (5alpha,11alpha,13S*)-isomer	C0087252
dezocine hydrobromide, (5alpha,11alpha,13S*)-isomer	C0969989
dezocine hydrobromide, (5alpha,11alpha,13*)-isomer	C0952188
dezocine hydrobromide, (5R-(5alpha,11alpha,13S*))-isomer	C0952189
Wy-16,225	C0148897
dezocine hydrobromide, (5S-(5alpha,11alpha,13*))-isomer	C0952190
Carotene	C0007269
Tetraterpenes	C0682998
Bricanyl	C0591192
Monovent	C0591826
Brethaire	C0701015
Terbuturmant	C1564319
Arubendol	C1564308
Taziken	C1564312
Terbutalin AL	C1564315
Terbutalin-ratiopharm	C1564318
Butaliret	C1564310
Contimit	C1564311
Terbul	C1564314
terbutalin von ct	C1564317
Brethine	C0701014
Asthmoprotect	C1564309
Tedipulmo	C1564313
Terbutalin Stada	C1564316
KWD-2019	C0022807
Hermesetas Gold	C1257724
nicotine polacrilex	C0068722
Goldswite	C1257723
Nozucar	C1257725
Canderel	C1257722
Milisucre	C1257726
Clopidogrel-Mepha	C4508794
PCR 4099	C0135676
SC 25989C	C0141645
SC 25990C	C0141646
clopidogrel bisulfate	C0772326
Clopidogrel Napadisilate	C3253083
SR 25989	C0245329
Clopidogrel Hydrochloride	C3273104
Clopidogrel Sandoz	C4508795
Clopidogrel, (+)(S)-isomer	C0957548
Clopidogrel Besylate	C2722826
Alphagan	C0594452
UK 14308	C0525226
Ratio-Brimonidine	C4046068
Brimonidine Tartrate, (R-(R*,R*))-Isomer	C0889730
Brimonidine Tartrate (1:1)	C0889731
Mirvaso	C3666439
AGN 190342	C0101867
UK 14,304-18	C0147741
Brimonidine Purite	C2003511
Brimonidine Tartrate (1:1), (S-(R*,R*))-Isomer	C0889732
Sanrosa	C4046067
Alphagan P	C1170041
ramosetron hydrochloride	C0526951
Nasea	C1442522
YM 060	C0287374
Centramina	C1448393
Fenamine	C0729146
amphetamine sulfate	C0282051
Mydrial	C0729147
Thyramine	C0729148
l-Amphetamine	C0023567
Sarin Gas	C4046009
3-chloro-4-fluorophenyl-(4-fluoro-4-(((5-methylpyrimidin-2-ylmethyl)amino)methyl)piperidin-1-yl)methanone	C2002902
NLX-101	C5435267
Purinergic P2 Receptor Antagonists	C2936574
benzofuran	C0537916
Etiracetam	C0059859
Etiracetam, R-isomer	C0953999
UCB 6474	C0147593
fisetinidin	C2973723
Hormone Antagonists	C0019927
CGP 48933	C0527644
Diovan	C0719949
Nisis	C1529216
Provas	C1529217
Kalpress	C1529214
Tareg	C4046057
Miten	C1529215
Entresto	C4033616
sacubitril / valsartan	C4033631
LCZ 696	C2933615
sacubitril and valsartan sodium anhydrous drug combination	C5544350
Hydrocarbons, Brominated	C0020246
3-(2-chlorophenyl)-5-(5-methyl-1-(piperidin-4-yl)-1H-pyrazol-4-yl)isoxazole	C4276444
Cerespan	C0702234
papaverine hydrochloride	C0700461
Pavabid	C0702233
Pavatym	C0030713
Zanosar	C0724450
Nospan (brand of antispasmodic)	C0132868
No-shpa	C0132708
No-spa	C0132709
Nospanum	C0132869
drotaverine hydrochloride	C0772293
Lanoxin	C0699988
Lanoxicaps	C0701372
Dilanacin	C0701373
Digacin	C1569328
Digoxina Boehringer	C1569326
Mapluxin	C1569322
Digoxine Nativelle	C1569325
Lanacordin	C1569324
Digoregen	C1569327
Digitek	C0876017
Lanicor	C1569323
Antimetabolites	C0003376
GP-121	C0162444
Sernyl	C0162445
Serylan	C0162446
Phencyclidine Hydrobromide	C0887015
Phencyclidine Hydrochloride	C0282301
CL-395	C0728715
ado-trastuzumab emtansine	C2935436
KADCYLA	C3537584
huN901-DM1	C1328107
Tetrahydrofurans	C1136192
Furans	C0016850
PD-L1 Inhibitors	C5392068
CTLA-4 Inhibitors	C5392069
PD-1-PD-L1 Blockade	C5392807
Immune Checkpoint Inhibitors	C4684977
Substance with programmed cell death protein 1 inhibitor mechanism of action (substance)	C4086713
Antibody-Drug Conjugates	C4704928
Radioimmunoconjugates	C0243019
Immunoconjugates	C0243020
Substance with phosphoinositide 3 kinase inhibitor mechanism of action	C4041090
Herceptin	C0338204
trastuzumab-qyyp	C4764376
Trazimera	C4764377
DS-8201a	C4287766
trastuzumab deruxtecan	C4726900
ER-086526	C0964708
Halaven	C2961780
eribulin mesylate	C2608038
E 7389	C1506837
B 1793	C2350867
B 1939	C2350868
eribulin	C2350866
NSC 707389	C1671159
mometasone furoate monohydrate	C0594488
Elocon	C0720180
Sch 32088	C0950713
Asmanex Twisthaler	C4279904
Asmanex	C1704094
Rinelon	C1741240
Onbrez	C2930741
QAB-149	C1722261
arcapta neohaler	C3195073
Phosphaden	C0001448
adenosine phosphate disodium	C3256589
cangrelor tetrasodium	C2698975
Kengreal	C4033619
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide Monohydrochloride, (trans)-(+-)-Isomer,	C0525012
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer	C0936092
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide Monomethanesulfonate, (trans)-(+-)-Isomer	C0949563
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide Monomethanesulfonate, (trans)-(+)-Isomer	C0949562
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide, (1R-cis)-Isomer	C0949565
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide, (1S-cis)-Isomer	C0949566
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide, (trans)-(+-)-Isomer	C0949567
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide Monomethanesulfonate, (trans)-Isomer	C0949564
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)-benzeneacetamide, (trans)-(-)-Isomer	C0949568
cyclohexanol	C0010569
Cyclohexanols	C0010570
CP-56,667	C0164897
3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol	C0094855
norfluoxetine, (+-)-isomer	C0955827
norfluoxetine hydrochloride	C0955826
Orap	C0591918
Antalon	C1563963
R-6238	C0733628
alpha-Aminotoluene	C0002244
Phenylmethylamine	C0031492
LY 210448	C0215085
Priligy	C2699558
Dapoxetine hydrochloride	C0970823
Ethinyl Estradiol, (8 alpha,17 alpha)-Isomer	C0887304
Microfollin	C0025985
Microfollin Forte	C0025986
Norethindrone, (1 beta)-Isomer	C0887104
Monogest	C0699164
Norlutin	C0699161
Ucb L059	C0147594
Ucb L060	C0147595
CGP 57148	C0385728
STI571	C0906802
imatinib mesylate	C0939537
ST 1571	C1097576
Gleevec	C0935987
N-(2-hydroxyethyl)-3-(6-((4-(trifluoromethoxy)phenyl)amino)-4-pyrimidinyl)benzamide	C4077336
KW6002	C5774072
hydantoin	C4048226
Lerivon	C0701011
Org GB 94	C0701010
Tolvon	C0040390
Norvir	C0678152
ABT 538	C0733594
Doxazosin Monohydrochloride	C0886670
Doxazosin Apogepha	C1579785
Doxazosin-ratiopharm	C1579788
Novo-Doxazosin	C1579793
Gen-Doxazosin	C1579798
MTW-Doxazosin	C1579799
Doxazosina Combino Pharm	C1579803
Jutalar	C1579806
Uriduct	C1579807
Doxa-Puren	C1569477
Doxamax	C1569498
Doxacor	C1569476
Doxazomerck	C1569496
Doxatensa	C1569497
Doxagamma	C1569499
Apo-Doxazosin	C1569478
Carduran Neo	C1569474
Alfamedin	C1569479
Doxazosin findusFit	C1579789
Doxazosin Stada	C1579792
Doxazosin Von Ct	C1579800
Doxazosin-Wolff	C1579804
Doxazosin Heumann	C1579790
Doxazosina Ur	C1579796
Purinergic P2 Receptor Agonists	C2936554
R-(+)-8-chloro-2,3,4,5-tetrahydro-3-methyl-5-phenyl-1H-3- benzazepine-7-ol	C2607600
7-chloro-3-methyl-1-phenyl-1,2,4,5-tetrahydro-3-benzazepin-8-ol	C2607601
Adenosine A1 Receptor Antagonists	C2936569
Oxidopamine Hydrobromide	C0886831
Oxidopamine Hydrochloride	C0886830
Combined Oral Contraceptives	C0009906
Ethinyl Estradiol, (8 alpha)-Isomer	C0887307
Ethinyl Estradiol Hemihydrate	C0887305
Ethinyl Estradiol, (9 beta,17 alpha)-Isomer	C0887306
Estinyl	C0699362
Ethinyl-Oestradiol Effik	C1564615
Ethinylestradiol Jenapharm	C1564616
Progynon C	C1564617
Lynoral	C0699367
Ethinyl Estradiol, (8 alpha,9 beta,13 alpha,14 beta)-Isomer	C0887303
Organothiophosphorus Compounds	C0029258
Phosphoramides	C3494394
Orthene	C0134123
Tamaron	C0728872
Nor-QD	C0699165
Norcolute	C0699167
Norcolut	C0699166
Micronor	C0699160
Conceplan	C0699163
norethindrone	C0028356
Oxytetracycline, (4a beta,5 beta,5a beta,12a beta)-Isomer	C0887050
Oxytetracycline, (5 beta)-Isomer	C0887051
oxytetracycline dihydrate	C0887052
Oxytetracycline, Sodium Salt	C0887055
Oxytetracycline, Calcium (1:1) Salt	C0887056
Oxytetracycline Sulfate (2:1)	C0887054
Oxyterracin	C0701904
Oxytetracid	C0702184
Terramycin	C0699935
Geomycin	C0701906
Bisolvomycin	C0701907
oxytetracycline anhydrous	C2698682
oxytetracycline calcium	C0282277
Oxytetracycline, Disodium Salt, Dihydrate	C0949397
Oxytetracycline Monohydrochloride	C0949396
oxytetracycline hydrochloride	C0017449
Serotonin 5-HT1 Receptor Antagonists	C2936517
Serotonin 5-HT1B-D Antagonists	C2936521
N-(2-(4-(2-methoxyphenyl)-1-piperazinyl)ethyl)-N-(2-pyridinyl)cyclohexanecarboxamide	C0290798
beta-funaltrexamine	C0053433
beta-funaltrexamine monohydrochloride, (E)-isomer	C0971987
Venosmine	C0878512
Daflon	C0215217
Effexor	C0591437
Sila-Venlafaxine	C1721158
Wy 45030	C0148888
venlafaxine hydrochloride	C0771200
Dobupal	C1529224
Purinergic P2X Receptor Agonists	C2936555
Purinergic P2X4 Receptor Agonists	C2936558
Purinergic P2X6 Receptor Agonists	C2936560
Purinergic P2X1 Receptor Agonists	C2936561
Purinergic P2X3 Receptor Agonists	C2936562
Purinergic P2X2 Receptor Agonists	C2936556
Purinergic P2X7 Receptor Agonists	C2936557
Purinergic P2X5 Receptor Agonists	C2936559
Adrenergic alpha-2 Receptor Antagonists	C0304513
medetomidine hydrochloride	C0065852
MPV-785	C0752309
MPV 1248	C0129092
Anafranil	C0002752
Hydiphen	C0086434
clomipramine hydrochloride	C0282107
Clomipramine Monohydrochloride	C0949268
Clomipramine Maleate (1:1)	C0949267
Acetyl-beta-methylcholine	C0524770
methacholine chloride	C0079829
Mecholyl	C0079810
Provokit	C1563839
Provocholine	C0722884
sitosterol, (3beta,24xi)-isomer	C0891177
sitosterol, 26-(14)C-labeled	C0891178
Harzol	C0919291
Sitosterol	C0220914
gonadorelin hydrochloride	C0701919
Dianthrones	C5828506
9,10-anthraquinone	C0050133
Hoelite	C5691240
Avipel	C5691238
Kawasaki saq	C5691239
9,10-anthraquinone, radical ion (1-)	C0956515
Morkit	C1510920
YH12852	C4706161
L-S 519	C0086338
Gastrozepin	C0701218
Piren-Basan	C1564043
Ulcoprotect	C1564041
Pirenzepin-Ratiopharm	C1564045
Pirenzepine Dihydrochloride	C1564040
Ulgescum	C1564042
Pirenzepin Von Ct	C1564044
Gastrotsepin	C1533640
butorphanol tartrate	C0700525
Beforal	C0701923
Moradol	C0701922
Dolorex brand of butorphanol tartrate	C0720011
BC-2627	C0729138
Torbugesic	C0310375
Apo-Butorphanol	C1451670
Stadol	C0038119
Flixonase	C0591520
Flixotide	C0591521
Cutivate	C0378626
Flovent HFA	C1170279
Flovent	C0720466
Cyclooctanes	C1136007
Cyclooctodienes	C1136009
Dibenzocyclooctanes	C1136010
Benzocyclooctanes	C1136011
Cyclooctenes	C1136137
Benzocyclooctenes	C1136136
Hypocholesteremic Agents	C0020602
Crestor	C1098080
rosuvastatin calcium	C1101751
ZD4522	C1130493
Smoking Cessation Agents	C4020563
1-naphthol, ion(1+)	C0891765
1-naphthol, 1-(14)C-labeled	C0891761
1-naphthol, 2-(13)C-labeled	C0891764
1-naphthol, sodium salt	C0891762
1-naphthol, potassium salt	C0891760
1-naphthol, lithium salt	C0891763
Alkaline Hematin D-575	C0002058
Ferriprotoporphyrin IX	C0015877
Ferrihaem	C0015870
Ferriprotoporphyrin	C0015876
Panhematin	C0030316
Hematin	C0018927
Pletal	C0722654
OPC 13013	C0133983
L 846	C0528002
Sonata	C0876170
CL 284,846	C0288656
Starnoc	C1529278
SKP-1041	C3489488
Zelepion	C4310315
Eosin (yellowish) (free acid)	C0887677
Eosine Yellowish-(YS), Dipotassium Salt	C0887678
Eosine Yellowish-(YS), Potassium, Sodium Salt	C0887676
fluoro jade	C1097415
Cyclohexane Monoterpenes	C5197910
Soledum	C1530230
Unsaturated Hydrocarbons	C5200798
Saturated Hydrocarbons	C5200799
Polycyclic Sesquiterpenes	C5197915
Caryophyllanes	C5197811
Valeranes	C5197812
Eremophilanes	C5197813
Sesquiterpenes, Guaiane	C1258163
Sesquiterpenes, Guaianolide	C1258164
beta-phellandrene, (+-)-isomer	C0957837
beta-phellandrene	C0209042
beta-phellandrene, (-)-isomer	C0972124
caryophyllene, (R-(R*,4Z,9S*))-isomer	C0953658
caryophyllene, (R-(R*,4E,9S))-isomer	C0953660
caryophyllene, (R*,4Z,9S*)-(+-)-isomer	C0953659
(E)-beta-caryophyllene	C3253186
trans-caryophyllene	C4080120
caryophyllene, (S-(R*,4E,9S*))-isomer	C0970180
caryophyllene, (S-(R*,4Z,9S*))-isomer	C0971990
isocaryophyllene	C2350184
(-)-guaiol	C1741258
Fenclonine Hydrochloride	C0887064
Fenclonine Hydrobromide	C0887065
Fenclonine, (D)-Isomer	C0887063
Fenclonine (L)-Isomer	C0916751
CP-10,188	C0729242
vortioxetine hydrobromide	C3667607
Lu AA21004	C3180953
Demser	C0591337
alpha-Methyltyrosine Hydrochloride	C0949560
Racemetirosine	C0949561
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine	C0088711
granisetron hydrochloride	C0543476
Kytril	C0107189
BRL-43694A	C0733443
Anti-Infective Agents, Urinary	C0003207
Antiseptics, Urinary	C0003426
Tenormin	C0592168
ICI-66082	C0700921
Kryptocur	C0699450
Dirigestran	C0699449
gonadorelin acetate	C0701918
Factrel	C0306166
Cystorelin	C0308762
Insect Hormones	C0021571
magnesium pidolate	C0381600
Purinergic P2Y12 Receptor Agonists	C2936564
Purinergic P2Y2 Receptor Agonists	C2936565
Purinergic P2Y1 Receptor Agonists	C2936566
Guanethidine Sulfate (2:1), 14C-Labeled	C0887236
guanethidine sulfate	C0700538
Ismelin	C0701214
guanethidine monosulfate	C0282190
Guanethidine Sulfate (1:2)	C0936276
Isobarin	C0018319
Darob	C2350021
MJ-1999	C0733411
Narcotic Analgesics	C0027409
Silostar	C1436212
Nebilet	C1436210
R 67555	C0139790
nebivolol hydrochloride	C0772208
Lobivon	C4046066
Bystolic	C1995642
Bay 68138	C0105283
Urological Agents	C2064919
methyllycaconitine hydroiodide	C0892858
methyllycaconitine hydrochloride	C0892859
Revanil	C0592053
Lisuride Mesylate	C0887155
Lisuride Hydrochloride	C0887154
Lisuride Maleate, (8beta)-Isomer	C0887156
Lisuride Phosphate (1:1)	C0887157
lisuride maleate	C0024373
Lysenyl	C0024331
Dopergin	C1450041
Lisuride, (8alpha)-(+-)-Isomer	C0916914
Cuvalit	C1450040
Arolac	C1450039
LY-127809	C0701027
Permax	C0701028
Pharken	C1563848
pergolide mesylate	C0031008
quinagolide hydrochloride, (3alpha,4aalpha,10abeta)-(+)-isomer	C0956875
CV-205-502	C0285115
quinagolide hydrochloride	C0771487
quinagolide hydrochloride, 3alpha,4aalpha,10abeta-(-)-isomer	C0966629
Norprolac	C0591881
NN 2211	C1099192
Saxenda	C3872102
Victoza	C2732208
Methocel E	C0376735
HPMC 2910	C1721107
K-8515	C0282732
Hypromellose Derivatives	C3850164
HPMC-K-100 M	C1956129
Imigran	C0678150
GR-43175	C0728953
Betaloc	C0591175
Betalok	C0700775
Beloc-Duriles	C0700774
Lopressor	C0700776
H 93-26	C0728920
Toprol-XL	C0723783
Spesicor	C0728918
CGP-2175	C0728917
Seloken	C0005307
Toprol	C2723006
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	C0297034
Urotrol brand of tolterodine tartrate	C1620121
Detrol	C0719805
Sch-29851	C0701053
Clarium	C0701054
Alavert	C1170027
Aerius	C5235019
descarboethoxyloratadine acetate	C0957567
SCH 34117	C0285737
Clarinex	C1101146
Theradol	C2350068
Tralgiol	C2350075
Tramadin	C2350080
Tramadol-Dolgit	C2350096
Tramagetic	C2350100
Detrusitol	C3888112
tolterodine tartrate	C0724710
Detrol LA	C0939311
Unidet	C4046058
PHA-686464B	C1741148
4-fluoro-2-((3S,4S)-4-hydroxytetrahydro-2H-pyran-3-yl)-5-methyl-6-(4-(1H-pyrazol-1-yl)benzyl)-2,3-dihydro-1H-isoindol-1-one	C5772994
TAK-071	C5773832
Dyflos	C0733475
Floropryl	C0733476
6-((2-carboxy-4,4-difluoro-1-pyrrolidinyl)methyl)decahydro-3-isoquinolinecarboxylic acid	C1744091
(3H)L-655,708	C0538034
QH-II-66	C3885219
BR-750	C0006084
WY-8678	C0700454
guanabenz acetate	C0733381
Wytensin	C0018313
Calcimycin	C0000699
Calcium Ionophores	C0444420
beta-Cyclodextrins	C1449701
heptakis(2,6-O-dimethyl)beta-cyclodextrin	C0062552
5-chloro-3-ethyl-1H-indole-2-carboxylic acid (2-(4-piperidin-1-yl-phenyl)ethyl)amide	C3492518
ORG27569	C3492519
Direct Factor Xa Inhibitors	C3653500
piperidine-4-carboxamide	C4078976
Cisordinol	C0008837
Clopenthixol	C0009026
MPV 2426	C0960267
pargyline hydrochloride	C0282289
Propylamines	C0033504
propargylamine monohydrochloride	C0951976
Zydol	C0592292
Tramake	C0592808
Tramadol 1A	C2350060
Adolonta	C2350061
Amadol	C2350062
Nobligan	C2350065
Topalgic	C2350071
Tradol-Puren	C2350073
Trama-Dorsch	C2350078
Tramadol AL	C2350083
Tramadol Edigen	C2350088
tramadol hydrochloride	C2350089
Tramadol Mabo	C2350093
Tramadol Stada	C2350095
Tramadura	C2350099
Zamudol	C2350106
MTW-Tramadol	C2350108
Takadol	C2350067
Tramex	C2350102
Xymel 50	C2350105
Selenomethionine, (+,-)-Isomer	C0886959
Selenomethionine, (S)-Isomer	C0886960
Selenomethionine, (R)-Isomer	C0886958
Selenomethionine Hydrochloride, (S)-Isomer	C0886961
selenomethionine	C0036584
khellin	C0022643
astramembrannin I	C0164714
3beta,6alpha,16beta,20R,24S; astragaloside IV of astragaloside A	C0902997
cyclosiversioside F	C0245094
astragaloside A	C0052574
3-(2-(2-(4-methylpiperidin-1-yl)ethyl)pyrrolidine-1-sulfonyl)phenol	C4551787
Coumaric Acids	C0010204
Piperazine tartrate	C0521908
Piperazine Tartrate, (R-(R*,R*))-isomer	C0892286
Piperazine Diacetate	C0892288
Piperazine Monohydrochloride	C0892289
Piperazine Salt	C0892290
Piperazine Hydrobromide	C0892281
piperazine hexahydrate	C0892282
piperazine sulfate	C0892285
piperazine hydrochloride	C0892287
Piperazine Phosphate Anhydrous	C1563617
piperazine phosphate	C0137095
Pripsen	C0138403
Piperazinium Oleate	C0284398
piperazine hydrate	C0207773
Piperazine Tartrate (1:1), (R-(R*,R*))-isomer	C1563616
8,8'-diferulic acid	C1176076
ferulic acid, (Z)-isomer	C0894690
sodium ferulate	C0142846
Ro 4-4602	C0035762
Ro 8-0576	C0140800
benserazide / levodopa	C0358787
Beconase	C0591154
Vancenase	C0699072
Vanceril	C0699073
Beclocort	C0699070
Beclovent	C0699071
Beclamet	C0699074
Apo-Beclomethasone	C1563762
Beclomet	C1563767
Beclorhinol	C1563768
Beclo AZU	C1563763
